food_code,food_name,calorie,carb,protein,fat
D202-110000000-0363,케이크_클래식가토쇼콜라 케이크 (조각),317,0,4,0
D202-110000000-0364,케이크_클래식가토쇼콜라 케이크,315,0,4.46,0
D202-110000000-0365,케이크_투썸얼그레이밀크티쉬폰 케이크 (조각),341,0,5.31,0
D202-110000000-0366,케이크_투썸얼그레이밀크티쉬폰 케이크,336,0,5.55,0
D202-110000000-0367,케이크_트리플 베리 생크림 라운드 케이크,247,0,3.03,0
D202-110000000-0368,케이크_트리플 베리 생크림 케이크,258,0,3.85,0
D202-110000000-0369,케이크_트리플 베리 치즈 스윗박스 케이크,263,0,3.23,0
D202-110000000-0370,케이크_트리플 초코 라운드 케이크,277,0,5.24,0
D202-110000000-0371,케이크_트리플 초코 케이크,300,0,5,0
D202-110000000-0372,케이크_트리플베리생크림 케이크 (조각),238,0,3.17,0
D202-110000000-0373,케이크_트리플베리생크림 케이크,229,0,3.07,0
D202-110000000-0374,케이크_트리플쇼콜라무스 케이크 (조각),252,0,4.07,0
D202-110000000-0375,케이크_트리플쇼콜라무스 케이크,248,0,4.28,0
D202-110000000-0376,케이크_티라미수 스푼 케이크,301,26.58,5.06,0
D202-110000000-0377,케이크_티라미수컵 케이크,330,0,3.92,0
D202-110000000-0378,케이크_티라미수 케이크,321,0,6.25,10
D202-110000000-0379,케이크_티라미수 케이크,307,0,5,0
D202-110000000-0380,케이크_티라미수케이크,321,0,5.88,0
D202-110000000-0381,케이크_티라미수 케이크,301,0,6.67,0
D202-110000000-0382,케이크_티라미수 케이크,291,0,5.29,0
D202-110000000-0383,케이크_티라미수크레이프 케이크,304,0,7.8,0
D202-110000000-0384,케이크_티라미슈 케이크,290,0,5.06,0
D202-110000000-0385,케이크_티라미스 케이크 (조각),334,0,7.5,0
D202-110000000-0386,케이크_파베쇼콜라 케이크,259,22.73,5.45,0
D202-110000000-0387,케이크_파티팩고구마밀크생크림 케이크,246,0,4.52,0
D202-110000000-0388,케이크_파티팩딸기레어치즈 케이크,283,0,4.64,0
D202-110000000-0389,케이크_파티팩블루베리요거트생크림 케이크,265,0,3.6,0
D202-110000000-0390,케이크_파티팩스트로베리초콜릿생크림 케이크,287,0,3.83,0
D202-110000000-0391,케이크_파티팩아이스박스 케이크,339,0,4.13,0
D202-110000000-0392,케이크_파티팩티라미수 케이크,299,0,4.86,0
D202-110000000-0393,케이크_퐁당쇼콜라바움쿠헨 케이크,450,0,6.9,0
D202-110000000-0394,케이크_플레인 치즈 스틱 케이크,356,0,6.67,0
D202-110000000-0395,케이크_플레인바스크치즈 케이크,353,0,5.26,0
D202-110000000-0396,케이크_피넛 크림 바나나 케이크,396,0,4.17,0
D202-110000000-0397,케이크_필라델피아 치즈 케이크,340,0,6.6,0
D202-110000000-0398,케이크_한라산 녹차 치즈 바스크 케이크,352,0,5.52,0
D202-110000000-0399,케이크_해피레인보우 케이크,359,0,4,0
D202-110000000-0400,케이크_허니 케이크,467,42.6,7.7,29.5
D202-110000000-0401,케이크_헤이즐넛마스카포네치즈 케이크,338,0,4.06,0
D202-110000000-0402,케이크_호두 당근 케이크,449,0,7.14,0
D202-110000000-0403,케이크_화이트 생크림 케이크 (조각),262,0,3.81,0
D202-110000000-0404,케이크_화이트 생크림 케이크 (홀),260,0,2.95,0
D202-110000000-0405,케이크_화이트 치즈 무스 케이크,363,0,5.08,0
D202-110000000-0406,케이크_화이트 롤케이크,321,0,6,0
D202-110000000-0407,케이크_화이트모찌 롤케이크,332,0,1.82,0
D202-110000000-0408,케이크_화이트미니 롤,344,0,6,0
D202-110000000-0409,케이크_화이트바닐라빈무스 케이크 (조각),292,0,3.85,0
D202-110000000-0410,케이크_화이트생크림 케이크 1호,251,0,3,0
D202-110000000-0411,케이크_화이트생크림 케이크 2호,292,0,3,0
D202-110000000-0412,케이크_화이트생크림 케이크 3호,291,0,3,0
D202-110000000-0413,케이크_화이트포레스트생크림 케이크,280,0,3.61,0
D202-110000000-0414,케이크_흑임자 갸또 쇼콜라 케이크,321,0,4.96,0
D202-110000000-0415,케이크_흑임자 크림 케이크,385,0,5,0
D202-110000000-0416,케이크_히든하트레드벨벳 케이크,285,0,3,0
D202-110000000-0417,케이크_기분이 초코 생크림,328,27.78,4.44,23.33
D202-110000000-0418,케이크_까망베르 밀크치즈 케이크 (홀),318,0,5,0
D202-110000000-0419,케이크_꿀고구마 생크림 케이크,235,26,3,14
D202-110000000-0420,케이크_당 충전100 쇼콜라 케이크,704,0,10,0
D202-110000000-0421,케이크_당근 케이크 (조각),588,0,6,0
D202-110000000-0422,케이크_당근 케이크 (홀),453,0,5,0
D202-110000000-0423,케이크_당근 크림치즈 케이크,360,0,4,0
D202-110000000-0424,케이크_당근당근 케이크,315,0,7,0
D202-110000000-0425,케이크_딸기 블라썸 케이크,280,19,3,18
D202-110000000-0426,케이크_딸기생크림카스테라,342,0,6,0
D202-110000000-0427,케이크_딸기와우유 생크림 1호,283,0,4.61,0
D202-110000000-0428,케이크_딸기와우유 생크림 2호,278,0,4.46,0
D202-110000000-0429,케이크_딸기와우유 생크림 3호,278,0,4.32,0
D202-110000000-0430,케이크_떠먹는 마스카포네 티라미수 케이크,301,27.41,4.44,0
D202-110000000-0431,케이크_떠먹는 스트로베리 초코크런치 케이크,305,35.56,4.44,0
D202-110000000-0432,케이크_레드벨벳 케이크,305,0,4.76,0
D202-110000000-0433,케이크_레드벨벳 케이크 (홀),394,0,5,0
D202-110000000-0434,케이크_레몬 케이크,504,0,5.78,0
D202-110000000-0435,케이크_리얼 카라멜 치즈 케이크 (조각),555,0,8,0
D202-110000000-0436,케이크_마스카포네 티라미수,270,23,4,22
D202-110000000-0437,케이크_마스카포네티라미수,301,0,6.67,0
D202-110000000-0438,케이크_마이넘버원,280,24,4,19
D202-110000000-0439,케이크_망고 크레이프 볼,246,20,3.85,17.69
D202-110000000-0440,케이크_무화과파운드,421,52.7,5.1,21.1
D202-110000000-0441,케이크_바스크 치즈 케이크,353,0,7.5,0
D202-110000000-0442,케이크_바스크 치즈 케이크,362,29.94,5.39,24.55
D202-110000000-0443,케이크_바스크 치즈 케이크,330,21.43,5.36,25
D202-110000000-0444,케이크_바스크치즈 케이크,337,18.5,5.5,27
D202-110000000-0445,케이크_보랏빛 블루베리 쉬폰,265,29,3,16
D202-110000000-0446,케이크_부드러운블루베리쉬폰,315,0,3.61,0
D202-110000000-0447,케이크_브라우니,496,39.5,8.3,33.9
D202-110000000-0448,케이크_블레싱레드베리 (4단),200,18,3,13
D202-110000000-0449,케이크_블루베리크로넛,382,39.7,7.2,21.6
D202-110000000-0450,케이크_사르르 연유수플레,325,30,5,20
D202-110000000-0451,케이크_산딸기크로넛,390,38.6,7,22.9
D202-110000000-0452,케이크_상큼한 블루베리쉬폰,280,29,3,17
D202-110000000-0453,케이크_생딸기 레어치즈 타르트 (조각),275,22.5,4.17,18.33
D202-110000000-0454,케이크_생딸기 프레지에,280,21,4,20
D202-110000000-0455,케이크_쇼콜라 케이크,397,0,9.47,0
D202-110000000-0456,케이크_순수 우유 케이크 (조각),433,0,6,0
D202-110000000-0457,케이크_순수우유 카스테라 케이크,386,0,11,0
D202-110000000-0458,케이크_스위트 쌀 롤,308,0,6.15,0
D202-110000000-0459,케이크_스위트 초코쌀 롤,305,0,7.69,0
D202-110000000-0460,케이크_스트로베리 굿굿 생크림,281,25,3.75,18.75
D202-110000000-0461,케이크_스트로베리 크레이프 케이크,250,0,5,0
D202-110000000-0462,케이크_스트로베리쇼콜라갸또,269,0,3.5,0
D202-110000000-0463,케이크_시나몬크로넛,397,46.8,8,19.8
D202-110000000-0464,케이크_얼그레이 생크림 케이크,371,0,5.56,0
D202-110000000-0465,케이크_오리지널티라미수,298,0,3.2,0
D202-110000000-0466,케이크_우리쌀 막걸리로 만든 강낭콩참쑥빵,211,46.67,4.85,0.55
D202-110000000-0467,케이크_우리쌀 막걸리로 만든 우리 오미자빵,214,47.27,4.85,0.61
D202-110000000-0468,케이크_진한크림치즈 가득 클래식 치즈 케이크,325,26,7,22
D202-110000000-0469,케이크_초코 블라썸 케이크,325,28,4,23
D202-110000000-0470,케이크_초코골드레이어,300,0,4.4,0
D202-110000000-0471,케이크_초코바닐라 마블쉬폰,315,30,4,20
D202-110000000-0472,케이크_초코반 딸기반,290,25,4,20
D202-110000000-0473,케이크_초코생크림뉴욕롤,436,43.02,5.81,25.58
D202-110000000-0474,케이크_초코크로넛,409,43.6,8,22.5
D202-110000000-0475,케이크_쿠키 앤 크림 케이크,352,0,6.09,0
D202-110000000-0476,케이크_클래식 고구마 케이크,315,38,4,17
D202-110000000-0477,케이크_클래식쇼콜라,429,44.3,7.7,24.5
D202-110000000-0478,케이크_클래식오브치즈 케이크,289,0,5.87,0
D202-110000000-0479,케이크_클래식오브치즈 케이크 (조각),294,0,5.88,0
D202-110000000-0480,케이크_티라미수,326,0,4.46,0
D202-110000000-0481,케이크_티라미수,295,26.6,5,18.7
D202-110000000-0482,케이크_파티생크림 케이크 5호A,261,0,3.82,0
D202-110000000-0483,케이크_파티생크림 케이크 5호B,260,0,4.17,0
D202-110000000-0484,케이크_패밀리생크림 케이크 4호A,275,0,4.36,0
D202-110000000-0485,케이크_패밀리생크림 케이크 4호B,272,0,3.96,0
D202-110000000-0486,케이크_페스티벌생크림 케이크 6호A,256,0,3.91,0
D202-110000000-0487,케이크_페스티벌생크림 케이크 6호B,263,0,4,0
D202-110000000-0488,케이크_프렌치 블루베리 치즈 케이크 (조각),588,0,8,0
D202-110000000-0489,케이크_플라워베리생크림 케이크 1호,291,0,4.78,0
D202-110000000-0490,케이크_플라워베리생크림 케이크 2호,421,0,6.67,0
D202-110000000-0491,케이크_플라워베리생크림 케이크 3호,288,0,4.39,0
D202-110000000-0492,케이크_필라델피아치즈 케이크,340,0,6.6,0
D202-110000000-0493,케이크_하츄핑도반한딸기생크림,286,0,2.96,0
D202-110000000-0494,케이크_한라봉홍차 케이크,252,0,3.85,0
D202-110000000-0495,케이크_한라산 모카 수플레,271,0,8,0
D202-110000000-0496,케이크_헤이즐넛초콜릿 케이크,383,0,6.25,0
D202-110000000-0497,케이크_흑임자바스크치즈 케이크,344,18.5,6,27.5
D202-111000000-0001,크로와상_AOP 버터 크라상,440,0,7.14,0
D202-111000000-0002,크로와상_AOP버터 프렌치 크루아상,354,36.92,6.15,0
D202-111000000-0003,크로와상_갈릭대파 크로와상,415,0,9.09,0
D202-111000000-0004,크로와상_갈릭크림치즈 크로와상,443,0,6.67,0
D202-111000000-0005,크로와상_거문 오름 크루아상,477,0,8.54,0
D202-111000000-0006,크로와상_고구마크로,341,56.1,7.32,10
D202-111000000-0007,크로와상_꿀꿀바 크로와상,503,0,6.67,0
D202-111000000-0008,크로와상_누네딸기 크로와상,383,0,5.56,0
D202-111000000-0009,크로와상_누텔라 크로와상,508,0,8,0
D202-111000000-0010,크로와상_다크 초콜릿 크루아상,371,0,6.25,0
D202-111000000-0011,크로와상_딸기우유 크로와상,441,0,6.25,0
D202-111000000-0012,크로와상_레몬글레이즈 크로와상,450,0,9.09,0
D202-111000000-0013,크로와상_로띠크로,388,51.67,8.33,17
D202-111000000-0014,크로와상_리얼버터 오리지널 크로와상,490,0,10,0
D202-111000000-0015,크로와상_마약옥수수 크로와상,324,0,7.32,0
D202-111000000-0016,크로와상_말차 크로와상,380,0,8.57,0
D202-111000000-0017,크로와상_메이플 크로와상,477,0,9.09,0
D202-111000000-0018,크로와상_미니크라상,417,0,5.56,0
D202-111000000-0019,크로와상_미니크로와상,369,0,6.25,0
D202-111000000-0020,크로와상_민트초코 크로와상,426,0,5.88,0
D202-111000000-0021,크로와상_버터 크루아상,483,0,10.5,0
D202-111000000-0022,크로와상_블루베리아몬드 크루아상,259,0,6.36,0
D202-111000000-0023,크로와상_블루베리크로,356,50.53,5.26,14
D202-111000000-0024,크로와상_비스킷크림 크로와상,407,0,7.32,0
D202-111000000-0025,크로와상_사과크로,377,55.79,5.26,15
D202-111000000-0026,크로와상_산딸기크로,353,56.84,5.26,12
D202-111000000-0027,크로와상_생크림미니크로와상,312,0,3.85,0
D202-111000000-0028,크로와상_생크림 크로와상,557,0,6.67,0
D202-111000000-0029,크로와상_슈크림 크로와상,380,0,8.57,0
D202-111000000-0030,크로와상_슈크림크로,318,41.05,5.26,15
D202-111000000-0031,크로와상_스노우미니크라상,440,0,8,0
D202-111000000-0032,크로와상_스위트포테이토 크로플,436,0,5.56,0
D202-111000000-0033,크로와상_슬라이스햄치즈크로,391,41.46,9.76,21
D202-111000000-0034,크로와상_아몬드 크루아상,482,0,10.8,0
D202-111000000-0035,크로와상_아몬드 크로와상,589,0,7.14,0
D202-111000000-0036,크로와상_앙버터 크로와상,445,0,5,0
D202-111000000-0037,크로와상_앙버터 크로플,474,0,4.76,0
D202-111000000-0039,크로와상_에그베이컨 크로와상,334,0,10.34,0
D202-111000000-0040,크로와상_오레오 크로와상,431,0,6.25,0
D202-111000000-0041,크로와상_오리지널생크림크라상,429,0,6.41,0
D202-111000000-0042,크로와상_오리지널크라상,440,0,6.9,0
D202-111000000-0044,크로와상_인절미 크로와상,429,0,5.71,0
D202-111000000-0045,크로와상_정통크로와상,433,0,6.12,0
D202-111000000-0046,크로와상_초코생크림 크로와상,475,0,5.56,0
D202-111000000-0047,크로와상_초코츄러스 크로와상,504,0,8,0
D202-111000000-0048,크로와상_초코크런치 크로와상,510,0,10,0
D202-111000000-0049,크로와상_초코트위스트크로,425,53.33,8,20
D202-111000000-0050,크로와상_커스타드 크루아상,310,0,6.67,0
D202-111000000-0051,크로와상_코코넛카야 크루아상,305,0,6,0
D202-111000000-0052,크로와상_크랜베리크로,417,59.38,6.25,17
D202-111000000-0053,크로와상_크루아상,433,0,6.67,0
D202-111000000-0054,크로와상_크루아상,361,0,7.41,0
D202-111000000-0055,크로와상_크림치즈 크로와상,434,0,5.71,0
D202-111000000-0056,크로와상_토피넛 꽈루아상,332,0,5.98,0
D202-111000000-0057,크로와상_통팥크로,360,52.44,7.32,13
D202-111000000-0058,크로와상_티라미수 크로와상,453,0,6.67,0
D202-111000000-0059,크로와상_팥생크림 크로와상,446,0,5.71,0
D202-111000000-0060,크로와상_페페로니 크로플,426,0,11.11,0
D202-111000000-0061,크로와상_플레인 꽈루아상,397,0,8.2,0
D202-111000000-0062,크로와상_해시브라운 크로플,808,0,40,0
D202-111000000-0063,크로와상_허니 고르곤졸라 크로와상,600,0,16.67,0
D202-111000000-0064,크로와상_헤이즐넛초코 크로와상,500,0,7.14,0
D202-111000000-0065,크로와상_후랑크 소세지 크로와상,306,0,8,0
D202-111000000-0066,크로와상_흑당 크로플,476,0,8,0
D202-111000000-0067,크로와상_기분좋은 초콜릿 크로와상,358,46.15,7.69,13.85
D202-111000000-0068,크로와상_누텔라 초코 바나나 크로와상,201,33.6,3.2,4.8
D202-111000000-0069,크로와상_달콤한크림크라상,405,36.84,7.37,26.32
D202-111000000-0071,크로와상_소시지 크루아상,230,0,11,0
D202-111000000-0072,크로와상_에그소시지 크로와상,267,27.07,8.03,0
D202-111000000-0073,크로와상_에그포테이토 크로와상,228,25.59,6.14,0
D202-111000000-0075,크로와상_프렌치크라상,453,45.28,7.55,26.42
D202-112000000-0001,크로켓(고로케)_NEW김치 고로케,275,0,5.83,0
D202-112000000-0002,크로켓(고로케)_감자 고로케,304,0,5,0
D202-112000000-0003,크로켓(고로케)_게살크림 고로케,333,0,7.78,0
D202-112000000-0004,크로켓(고로케)_고구마 고로케,345,0,6.67,0
D202-112000000-0005,크로켓(고로케)_까르보나라까망 고로케,338,0,6.67,0
D202-112000000-0006,크로켓(고로케)_꽃맛살 고로케,295,29.52,6.67,16.19
D202-112000000-0007,크로켓(고로케)_납작김치고로전,304,0,6.4,0
D202-112000000-0008,크로켓(고로케)_단호박 고로케,344,0,6.67,0
D202-112000000-0009,크로켓(고로케)_돼지갈비 고로케,276,0,9.52,0
D202-112000000-0010,크로켓(고로케)_매콤아삭 고로케,273,32.73,6.36,12.73
D202-112000000-0011,크로켓(고로케)_매콤치킨 고로케,324,0,11.11,0
D202-112000000-0012,크로켓(고로케)_매콤치킨커리 고로케,259,0,8.33,0
D202-112000000-0013,크로켓(고로케)_명품잡채 고로케,275,30,5.83,15
D202-112000000-0014,크로켓(고로케)_명품카레 고로케,316,0,7.02,0
D202-112000000-0015,크로켓(고로케)_바삭쫄깃한 로제품은달걀,210,0,8,0
D202-112000000-0016,크로켓(고로케)_슈크림 고로케,335,0,6.67,0
D202-112000000-0017,크로켓(고로케)_야채감자 고로케,304,32.17,6.09,16.52
D202-112000000-0018,크로켓(고로케)_야채 고로케,294,0,7.78,0
D202-112000000-0019,크로켓(고로케)_어니언크림치즈 고로케,338,0,7.69,0
D202-112000000-0020,크로켓(고로케)_옥수수치즈 고로케,320,0,5.56,0
D202-112000000-0021,크로켓(고로케)_이탈리안 고로케,270,0,8,0
D202-112000000-0022,크로켓(고로케)_잡채 고로케,312,0,7.41,0
D202-112000000-0023,크로켓(고로케)_중화잡채 고로케,369,0,7.69,0
D202-112000000-0024,크로켓(고로케)_추억의사라다 고로케,296,0,4.62,0
D202-112000000-0025,크로켓(고로케)_칠리꽃맛살 고로케,345,0,7,0
D202-112000000-0026,크로켓(고로케)_크림치즈 고로케,380,0,7.5,0
D202-112000000-0027,크로켓(고로케)_피자 고로케,293,0,7.78,0
D202-112000000-0028,크로켓(고로케)_NEW정통 고로케,300,0,8.33,0
D202-112000000-0029,크로켓(고로케)_고기가득부추 고로케,314,0,9,0
D202-112000000-0030,크로켓(고로케)_고기야채 고로케,294,0,7.78,0
D202-112000000-0031,크로켓(고로케)_남해마늘로만든마늘치킨 고로케,286,0,10,0
D202-112000000-0032,크로켓(고로케)_마늘치킨 고로케,286,0,10,0
D202-112000000-0033,크로켓(고로케)_매콤마라모찌 (6개입),313,44.44,1.39,19.44
D202-112000000-0034,크로켓(고로케)_매콤마요 감동란 코로케,296,0,9,0
D202-112000000-0035,크로켓(고로케)_매콤에그마요 고로케,290,0,9,0
D202-112000000-0036,크로켓(고로케)_볶음김치 고로케,290,0,6.67,0
D202-112000000-0037,크로켓(고로케)_불고기피자 고로케,277,0,4.5,0
D202-112000000-0038,크로켓(고로케)_오븐에구운 고로케,263,26.6,5.7,14.9
D202-112000000-0039,크로켓(고로케)_치즈퐁당감자 고로케,339,0,10.48,0
D202-112000000-0040,크로켓(고로케)_하와이안 비프,233,29.3,8.8,9
D202-112000000-0041,크로켓(고로케)_화끈한 마라고로케,310,33,7,17
D202-113000000-0001,크림빵_고소한 흑임자크림빵,328,0,5.97,0
D202-113000000-0002,크림빵_골든크림메론빵,320,0,5,0
D202-113000000-0003,크림빵_까까웨뜨,407,0,8.64,0
D202-113000000-0004,크림빵_나눠먹는크림빵,428,0,7,0
D202-113000000-0005,크림빵_단팥크림코팡,271,0,5.88,0
D202-113000000-0006,크림빵_동글동글순우유롤,361,0,7.54,0
D202-113000000-0007,크림빵_딸기샌드케이크 크림빵,252,0,4,0
D202-113000000-0008,크림빵_딸기흑임자크림빵,286,0,5.19,0
D202-113000000-0009,크림빵_땅콩크림빵,431,0,8.75,0
D202-113000000-0010,크림빵_리얼초코소라빵,301,0,7.35,0
D202-113000000-0011,크림빵_매직모카크림빵,427,0,6.73,0
D202-113000000-0012,크림빵_민트초코 생크림 브레드,309,0,4.15,0
D202-113000000-0013,크림빵_밀크크림브레드,221,0,5.26,0
D202-113000000-0014,크림빵_바닐라슈,307,0,6.67,0
D202-113000000-0015,크림빵_바닐라크로캉롱슈,314,0,4.65,0
D202-113000000-0016,크림빵_부드러운모카크림빵,407,0,5.71,0
D202-113000000-0017,크림빵_부드러운후레쉬크림샌드빵,385,0,6.2,0
D202-113000000-0018,크림빵_브리오슈슈크레,740,0,8,0
D202-113000000-0019,크림빵_생크림빵,310,0,7.14,0
D202-113000000-0020,"크림빵_순,딸기산도",265,0,4.9,0
D202-113000000-0021,크림빵_순진우유크림빵,264,0,7.14,0
D202-113000000-0022,크림빵_슈크림빵,312,0,8.24,0
D202-113000000-0023,크림빵_슈크림빵,298,44.05,7.14,10.71
D202-113000000-0024,크림빵_스노우쿠키슈,320,0,6,0
D202-113000000-0025,크림빵_스마일슈크림빵,300,0,6.94,0
D202-113000000-0026,크림빵_시원하게 즐기는 메론빵,327,0,5.45,0
D202-113000000-0027,크림빵_아몬드슈,277,0,6.67,0
D202-113000000-0028,크림빵_아이스허니와앙슈,267,0,5.33,0
D202-113000000-0029,크림빵_어니언크런치,248,0,8.7,0
D202-113000000-0030,크림빵_어둠의다크초코통통,400,0,6.67,0
D202-113000000-0032,크림빵_요구르트 슈스틱,275,21.67,5,20
D202-113000000-0033,크림빵_우유크림슈,304,21.74,4.35,21.74
D202-113000000-0034,크림빵_진한쌀크림빵,325,0,5.59,0
D202-113000000-0035,크림빵_초코가나슈크림빵,299,0,7.79,0
D202-113000000-0036,크림빵_초코크로칸슈,277,0,3.64,0
D202-113000000-0037,크림빵_초코크림아몬드볼,400,0,8.75,0
D202-113000000-0038,크림빵_초콜릿크로캉롱슈,286,0,4.4,0
D202-113000000-0039,크림빵_촉촉브래드,296,0,7.27,0
D202-113000000-0040,크림빵_치즈크림팡도르,326,0,6.32,0
D202-113000000-0041,크림빵_카스타드롤,292,0,7.69,0
D202-113000000-0042,크림빵_카페모카크림빵 (대),420,0,7.06,0
D202-113000000-0043,크림빵_카페모카크림빵 (소),410,0,7.74,0
D202-113000000-0044,크림빵_크리미 크로칸 슈,272,0,3.64,6.36
D202-113000000-0045,크림빵_크리미크로칸슈,272,0,3.64,0
D202-113000000-0046,크림빵_크림듬뿍초코크림아몬드볼,400,0,7.78,0
D202-113000000-0047,크림빵_크림코르네,272,0,3.51,0
D202-113000000-0048,크림빵_티라미수 크림 데니쉬,345,0,4.55,0
D202-113000000-0049,크림빵_후레쉬연유크림,454,0,9.52,0
D202-113000000-0050,크림빵_후레쉬연유크림빵,417,0,8,0
D202-113000000-0051,크림빵_후레쉬크림빵,404,0,6.41,0
D202-113000000-0052,크림빵_후레쉬크림빵,411,0,7.59,0
D202-113000000-0053,크림빵_후레쉬크림샌드빵 (소),408,0,7.2,0
D202-113000000-0054,크림빵_후레쉬크림샌드빵,408,0,7.6,0
D202-113000000-0055,크림빵_단팥생크림빵,297,38.21,4.88,13.82
D202-113000000-0056,크림빵_단팥크림빵,289,0,7.27,0
D202-113000000-0057,크림빵_단호박 미니 붕어빵,275,0,4.8,0
D202-113000000-0058,크림빵_메론크림빵,322,47.12,5.77,12.5
D202-113000000-0059,크림빵_바닐라 우유 크림슈,326,13.04,4.35,26.09
D202-113000000-0060,크림빵_보슬보슬옥수수크림빵,344,41.11,6.67,16.67
D202-113000000-0061,크림빵_생크림메론크림빵,328,43.1,5.17,14.66
D202-113000000-0062,크림빵_슈크림 콩빵,357,0,5.13,0
D202-113000000-0063,크림빵_아이스슈,283,0,3.33,0
D202-113000000-0064,크림빵_연유크림브레드,271,0,4,0
D202-113000000-0065,크림빵_옥수수콘크림샌드,313,38.26,6.09,14.78
D202-113000000-0066,크림빵_왕구름크림빵,359,45.31,6.12,17.14
D202-113000000-0067,크림빵_우유버터브레드,383,0,7.59,0
D202-113000000-0068,크림빵_우유생크림빵,327,0,4.81,0
D202-113000000-0069,크림빵_인생 딸기생크림빵,329,40,5.71,17.14
D202-113000000-0070,크림빵_자색고구마 미니 붕어빵,294,0,4.8,0
D202-113000000-0071,크림빵_초코 미니 붕어빵,328,0,4.8,0
D202-113000000-0072,크림빵_초코 슈스틱,333,0,6.67,0
D202-113000000-0073,크림빵_추억의 고구마생크림빵,368,42.73,6.36,17.27
D202-113000000-0074,크림빵_치즈크림빵,349,0,8.89,0
D202-113000000-0075,크림빵_커스타드 크로칸 슈,427,0,10,0
D202-113000000-0077,크림빵_쿠키슈 생크림,343,40,4.29,18.57
D202-113000000-0078,크림빵_쿠키슈 커스터드초코크림,427,48.57,8.57,20
D202-113000000-0079,크림빵_쿠키슈 커스터드크림,377,44.29,4.29,15.71
D202-113000000-0080,크림빵_쿠키슈 황치즈크림,386,58.57,8.57,15.71
D202-113000000-0081,크림빵_크림 치즈 크로칸 슈,449,0,8,0
D202-113000000-0082,크림빵_크림소금빵,450,0,12.5,0
D202-113000000-0083,크림빵_흑당크림브레드,268,0,3.68,0
D202-114000000-0001,타르트_까망베르치즈 타르트,314,0,6.47,0
D202-114000000-0002,타르트_뉴욕치즈타르트,390,32,8,26
D202-114000000-0004,타르트_리얼 다크 타르트,429,0,6.67,0
D202-114000000-0005,타르트_무화과타르트,476,0,8.98,0
D202-114000000-0006,타르트_미니 타르트 4종 세트,446,0,8.53,0
D202-114000000-0007,타르트_밀당 에그 타르트,400,0,4.21,0
D202-114000000-0008,타르트_소프트 에그타르트,330,0,6,0
D202-114000000-0009,타르트_씨앗타르트,417,0,11.71,0
D202-114000000-0010,타르트_아몬드타르트,426,0,11.71,0
D202-114000000-0011,타르트_에그 타르트,270,0,4,0
D202-114000000-0012,타르트_에그타르트,297,38.1,5.9,13.4
D202-114000000-0013,타르트_에그타르트,264,0,6,0
D202-114000000-0014,타르트_에그타르트,280,28,4,16
D202-114000000-0015,타르트_크림치즈 타르트,433,0,7.5,0
D202-114000000-0016,타르트_호두듬뿍타르트,430,42,8,26
D202-114000000-0017,타르트_호두타르트,426,0,11.43,0
D202-114000000-0018,타르트_패스트리에빠진에그푸딩,457,0,9.57,0
D202-114000000-0019,타르트_오렌지타르트,248,26.27,3.82,14.23
D202-115000000-0001,토스트_갈릭스틱토스트,378,0,4.88,0
D202-115000000-0002,토스트_갈릭치즈토스트,407,0,8.57,0
D202-115000000-0003,토스트_구운햄치즈 토스트,304,0,11,0
D202-115000000-0004,토스트_더블 버터 카야 토스트,335,0,4.74,0
D202-115000000-0005,토스트_마늘토스트,306,0,7.27,0
D202-115000000-0006,토스트_몬테크리스토 (H),262,0,8,0
D202-115000000-0008,토스트_스위트토스트,419,0,6.45,0
D202-115000000-0010,토스트_오믈렛토스트,269,0,11.54,0
D202-115000000-0011,토스트_인절미 카야 토스트,261,0,5.43,0
D202-115000000-0012,토스트_인절미 토스트,342,0,8.99,0
D202-115000000-0013,토스트_자색 고구마 카야 토스트,256,0,5.83,0
D202-115000000-0014,토스트_촉촉한 허니버터토스트,380,0,4.57,0
D202-115000000-0015,토스트_촉촉한햄치즈 토스트,253,0,10,0
D202-115000000-0016,토스트_카라멜버터토스트,332,0,6.84,0
D202-115000000-0017,토스트_카야 토스트,315,0,7.55,0
D202-115000000-0018,토스트_통버터 프렌치토스트,289,0,6.32,0
D202-115000000-0019,토스트_트리플 치즈 카야 토스트,273,0,5.43,0
D202-115000000-0020,토스트_페퍼로니 피자 토스트,282,0,12.35,0
D202-115000000-0021,토스트_햄 치즈 프렌치 토스트,312,28.13,10,17.5
D202-115000000-0022,토스트_햄치즈 스크램블 토스트,290,0,11,0
D202-115000000-0023,토스트_허니버터토스트,335,0,6,0
D202-115000000-0024,토스트_누텔라 바나나 토스트,208,36.3,3.42,5.48
D202-115000000-0025,토스트_전여친 생각 토스트,379,58.82,5.88,13.24
D202-115000000-0026,토스트_카야 버터치즈 반반 토스트,285,43.16,6.32,11.58
D202-115000000-0027,토스트_카야버터 토스트,321,43.16,5.26,13.68
D202-115000000-0028,토스트_카야치즈 토스트,249,43.16,7.37,8.42
D202-116000000-0002,파이/만주_베이컨 치즈 팟파이,269,0,9.38,0
D202-116000000-0003,파이/만주_블루베리 에그디쉬,264,0,5.54,0
D202-116000000-0005,파이/만주_이탈리안 에그디쉬,296,0,7.91,0
D202-116000000-0006,파이/만주_주상절리 파이,532,0,7.37,0
D202-116000000-0007,파이/만주_치킨 팟파이,253,0,15.88,0
