food_code,food_name,calorie,carb,protein,fat
D103-148000000-0001,라면,82,13.65,1.72,2.28
D103-148090000-0001,라면_달걀,108,17.33,2.61,3.18
D103-148130000-0001,라면_떡,96,15.27,2.04,2.92
D103-150010000-0001,만두_고기만두,159,17.4,12.38,4.45
D103-150030000-0001,만두_군만두,234,25.57,7.03,11.5
D103-150060000-0001,만두_김치만두,152,17.02,10.24,4.76
D103-150190000-0001,만두_물만두,195,15.61,8.06,11.13
D103-151300000-0001,만두국_사골,87,8.94,3.74,4
D103-152380000-0001,메밀국수_온면,63,12.06,3.14,0.29
D103-160000000-0001,수제비,58,11.08,2.31,0.52
D103-161220000-0001,스파게티_미트볼,180,17.62,7.34,8.88
D103-164400000-0001,우동_일식,158,30.48,1.78,3.22
D103-165000000-0001,우동볶음,128,24.79,2.8,2.01
D103-167000000-0001,월남쌈,118,12.25,5.94,4.97
D103-168000000-0001,자장면,88,14.37,2.69,2.22
D103-172000000-0001,짬뽕,58,8.26,2.79,1.54
D103-173000000-0001,쫄면,129,23.26,3.21,2.52
D103-174000000-0001,칼국수,77,14.9,3.3,0.49
D103-174240000-0001,칼국수_바지락,82,15.97,3.43,0.53
D103-175000000-0001,콩국수,81,8.92,3.9,3.35
D104-181000000-0001,닭죽,44,7.14,2.68,0.57
D104-185060000-0001,스프_양송이버섯,105,8.06,2.41,7.04
D104-188000000-0001,오리죽,155,19.95,7.5,4.99
D104-191000000-0001,전복죽,79,9.62,1.82,3.73
D104-194000000-0001,채소죽,43,7.62,1.69,0.69
D104-195000000-0001,팥죽,81,16.66,3.17,0.19
D104-197000000-0001,호박죽,49,6.58,1.93,1.71
D104-198000000-0001,흑임자 죽,61,3.64,1.1,4.73
D105-199000000-0001,갈비탕,54,0.4,8.51,2.06
D105-200000000-0001,감자국,21,3.67,0.9,0.26
D105-203000000-0001,곰탕,24,0.11,3.43,1.12
D105-203330000-0001,곰탕_우거지,25,2.6,2.37,0.6
D105-204150000-0001,굴국_무,25,2.93,2.41,0.36
D105-205000000-0001,김치국,23,2.63,1.34,0.76
D105-205370000-0001,김치국_콩나물,12,1.15,0.82,0.47
D105-208000000-0001,내장탕,71,1.68,5.82,4.52
D105-209160000-0001,냉국_미역,37,7.51,0.19,0.67
D105-209163700-0001,냉국_미역_오이,6,0.85,0.37,0.15
D105-210000000-0001,달걀국,13,0.69,0.93,0.74
D105-211260000-0001,달걀탕_순두부,29,0.94,1.78,2.04
D105-213000000-0001,닭곰탕,51,2,7.51,1.42
D105-215000000-0001,도가니탕,40,0.82,8.35,0.33
D105-216010000-0001,된장국_감자,25,3.7,1.09,0.6
D105-216070000-0001,된장국_냉이,22,2.2,1.71,0.66
D105-216160000-0001,된장국_미역,24,2.28,1.56,0.97
D105-216180000-0001,된장국_배추,20,2.58,1.46,0.4
D105-216270000-0001,된장국_시금치,9,0.98,1.02,0.17
D105-216280000-0001,된장국_시래기,15,2.03,1.31,0.22
D105-216290000-0001,된장국_쑥,15,1.52,1.22,0.47
D105-216300000-0001,된장국_아욱,20,1.59,2.28,0.56
D105-216310000-0001,된장국_얼갈이배추,9,0.85,0.5,0.41
D105-216330000-0001,된장국_우거지,20,0.82,2.77,0.59
D105-216370000-0001,된장국_콩나물,31,2.62,2.58,1.11
D105-216390000-0001,된장국_해물,28,2.68,2.1,0.98
D105-216400000-0001,된장국_호박,31,1.41,3.34,1.31
D105-216410000-0001,된장국_호박잎,7,0.54,0.4,0.32
D105-219240000-0001,무국_소고기,15,1.1,1.33,0.64
D105-219420000-0001,무국_홍합,25,0.86,0.79,2.03
D105-220140000-0001,묵국_메밀묵,22,3.57,1,0.4
D105-223000000-0001,미역국,12,0.87,0.65,0.61
D105-223100000-0001,미역국_대합,11,0.56,1.23,0.45
D105-223220000-0001,미역국_새우,16,1.83,1.09,0.46
D105-223240000-0001,미역국_소고기,13,0.82,1.86,0.26
D105-225240000-0001,배추국_소고기,16,1.14,1.84,0.41
D105-226000000-0001,북어국,28,0.84,3.89,0.98
D105-227000000-0001,사골국,55,2.81,5.56,2.42
D105-228000000-0001,삼계탕,101,3.84,10.68,4.8
D105-229000000-0001,새우탕,33,2,5.17,0.44
D105-231000000-0001,설렁탕,24,0.36,4.26,0.58
D105-234000000-0001,순대국,85,14.95,2.35,1.75
D105-237000000-0001,어묵국(어묵탕),31,3.83,1.49,1.03
D105-242000000-0001,오징어국,18,0.73,2.22,0.73
D105-245000000-0001,육개장,30,1.49,3.68,0.99
D105-245080000-0001,육개장_닭고기,20,1.41,2.74,0.42
D105-247000000-0001,장어탕,67,3.68,4.32,3.91
D105-248000000-0001,재첩국,23,4.54,0.67,0.29
D105-250000000-0001,조개국,16,0.25,1.67,0.89
D105-253000000-0001,콩나물국,6,0.61,0.74,0.09
D105-255000000-0001,토란국,16,2.61,1,0.12
D105-256210000-0001,해장국_뼈다귀,26,1.06,3.19,0.97
D105-256230000-0001,해장국_선지,29,1.23,3.86,0.96
D105-272000000-0001,동태국,17,1.4,2.42,0.16
D106-259000000-0001,갈치찌개,38,1.95,5.27,1
D106-260000000-0001,감자탕,71,2.27,6.31,4.06
D106-265000000-0001,김치전골,73,5.68,3.12,4.23
D106-266050000-0001,김치찌개_꽁치,89,3.54,7.14,5.18
D106-266100000-0001,김치찌개_돼지고기,45,1.04,4.25,2.71
D106-266200000-0001,김치찌개_어묵,38,6.31,1.82,0.59
D106-266250000-0001,김치찌개_참치,51,2.9,3.59,2.82
D106-266280000-0001,김치찌개_햄,31,3.17,1.47,1.39
D106-268000000-0001,꽃게탕,17,1.44,1.86,0.41
D106-270000000-0001,낙지전골,51,3.72,6.5,1.14
D106-273000000-0001,동태찌개,44,1.72,6.11,1.37
D106-274000000-0001,돼지고기찌개,48,2.26,6.25,1.51
D106-275000000-0001,된장찌개,46,4.44,3.38,1.63
D106-275060000-0001,된장찌개_냉이,19,2.91,1.17,0.31
D106-275070000-0001,된장찌개_달래,35,3.81,3.18,0.79
D106-275110000-0001,된장찌개_두부,41,2.56,3.25,1.96
D106-275130000-0001,된장찌개_바지락,23,1.18,2.88,0.72
D106-277010000-0001,두부찌개_고추장,52,3.18,4.01,2.63
D106-277180500-0001,두부찌개_소고기_고추장,58,6.73,4.56,1.42
D106-277181600-0001,두부찌개_소고기_된장,55,3.5,5.71,1.98
D106-280080000-0001,매운탕_대구,22,0.19,4.49,0.4
D106-280270000-0001,매운탕_해물,35,2.51,4.85,0.64
D106-282000000-0001,버섯전골,78,4.78,5.14,4.24
D106-284000000-0001,부대찌개,123,10.27,5.86,6.49
D106-287150000-0001,샤브샤브_버섯,30,1.57,3.88,0.9
D106-287180000-0001,샤브샤브_소고기,43,1.8,5.38,1.62
D106-289000000-0001,소고기전골,63,0.46,7.89,3.24
D106-291030000-0001,순두부찌개_김치,35,2.17,2.98,1.59
D106-293000000-0001,알탕,39,1.74,6.37,0.74
D106-294000000-0001,오리백숙,112,0.5,10.59,7.5
D106-295000000-0001,오리탕,121,6.08,9.5,6.56
D106-296000000-0001,오징어찌개,34,4.77,3.3,0.22
D106-297000000-0001,청국장찌개,47,1.92,5.03,2.11
D106-298000000-0001,추어탕,54,3.07,3.24,3.18
D106-299000000-0001,콩비지찌개,69,3.57,6.74,3.08
D106-302010000-0001,호박찌개_고추장,41,5.96,2.08,0.99
D107-128180000-0001,고구마_찐고구마,139,32.47,1.67,0.24
D107-304000000-0001,가오리찜,102,0.46,21.99,1.39
D107-306130000-0001,갈비찜_소고기,85,6.95,7.25,3.17
D107-307170000-0001,감자_찐감자,70,15.01,2.16,0.16
D107-310000000-0001,깻잎찜,97,5.96,5.21,5.86
D107-312000000-0001,꼬막찜,96,6.97,12.03,2.28
D107-314000000-0001,꽈리고추찜,104,17.69,3.59,2.09
D107-317120000-0001,달걀찜_새우젓,58,0.47,4.98,4.04
D107-317150000-0001,달걀찜_우유,105,3.8,8.23,6.31
D107-318000000-0001,닭찜,107,0.6,12.37,6.09
D107-324000000-0001,돼지갈비찜,194,7.44,13.29,12.32
D107-332130000-0001,사태찜_소고기,110,3.67,12.1,5.17
D107-335130000-0001,수육_소고기,166,2.04,28.43,4.94
D107-337000000-0001,순대,187,35.73,2.75,3.64
D107-338000000-0001,아귀찜,84,7.26,6.72,3.13
D107-339000000-0001,애호박찜,181,21.18,9.5,6.48
D107-341190000-0001,옥수수_찐옥수수,185,34.2,6.68,2.42
D107-344000000-0001,족발,233,0.93,26.04,13.91
D107-345000000-0001,코다리찜,94,6.08,14.49,1.35
D107-346220000-0001,콩나물찜_해물,56,4.97,6.67,1.01
D107-347000000-0001,풋고추찜,51,8.27,2.31,0.99
D108-352000000-0001,가자미구이,123,0.66,18.7,5.02
D108-354120000-0001,갈비구이_소고기,241,1.59,25.91,14.55
D108-355030000-0001,갈치구이_기름,138,0.6,21.54,5.48
D108-357110000-0001,고등어구이_석쇠,340,3.79,23.38,25.69
D108-359120000-0001,곱창구이_소고기,184,4.71,14.89,11.73
D108-361180000-0001,김구이_조미김,470,29,20.4,30.2
D108-362041400-0001,꼬치구이_닭고기_대파,245,10.35,17.85,14.7
D108-365000000-0001,닭구이,257,7.8,26.21,13.39
D108-368000000-0001,닭발구이,196,9.7,18.15,9.41
D108-376000000-0001,떡갈비,202,2.46,21.38,11.82
D108-377000000-0001,런천미트구이,303,3.27,17.56,24.38
D108-379000000-0001,뱅어포구이,374,25.07,34.37,15.17
D108-380000000-0001,버섯구이,52,4.78,5.16,1.38
D108-380100000-0001,버섯구이_새송이버섯,84,11.66,4.29,2.21
D108-381000000-0001,버섯구이표고버섯,100,18.14,4.34,1.06
D108-382000000-0001,삼겹살구이,467,0.35,22.56,41.69
D108-382020000-0001,삼겹살구이_고추장,403,12.63,14.21,32.83
D108-383000000-0001,삼치구이,178,1.45,21.42,9.57
D108-384000000-0001,새우구이,145,2.82,23.41,4.44
